"X","Y","Z"
509281.671,6969956.939,1.568
509104.533,6969475.223,1.241
509142.088,6969062.679,1.772
508813.138,6968252.757,1.761
508749.444,6966867.443,4.714
508877.198,6966498.174,2.632
509008.311,6966113.064,4.715
509407.586,6965684.647,2.770
510885.093,6962847.505,5.735
511059.274,6962360.720,7.618
511462.425,6961933.257,2.433
511620.823,6961454.416,1.270
511611.697,6961065.186,4.032
511670.206,6960487.500,2.325
511932.424,6959910.496,10.382
512107.431,6959238.421,1.745
512501.136,6958548.993,7.169
512361.914,6957714.786,22.014
512325.237,6957276.171,37.143
512402.120,6956708.392,39.497
512347.670,6956040.092,49.548
512231.995,6955337.264,32.334
512142.822,6954768.956,30.152
511742.361,6954164.301,27.057
511544.145,6953637.444,39.479
511497.932,6953305.867,25.323
