 509281.6715   6969956.9385 0.0155 0.0045
 509104.5327   6969475.2234 0.0107 0.0074
 509142.0884   6969062.6792 0.0114 0.0062
 508813.1375   6968252.7570 0.0045 0.0060
 508749.4438   6966867.4429 -0.0002 0.0029
 508877.1982   6966498.1740 -0.0028 0.0020
 509008.3110   6966113.0645 -0.0010 0.0005
 509407.5855   6965684.6466 -0.0035 -0.0004
 510885.0927   6962847.5051 -0.0093 -0.0059
 511059.2741   6962360.7200 -0.0089 -0.0060
 511462.4254   6961933.2574 -0.0126 -0.0066
 511620.8225   6961454.4162 -0.0085 -0.0088
 511611.6966   6961065.1863 -0.0094 -0.0057
 511670.2057   6960487.4999 -0.0093 -0.0051
 511932.4242   6959910.4959 -0.0088 -0.0051
 512107.4305   6959238.4205 -0.0095 -0.0045
 512501.1356   6958548.9927 -0.0074 -0.0003
 512361.9135   6957714.7860 -0.0065 -0.0020
 512325.2366   6957276.1708 -0.0044 0.0008
 512402.1200   6956708.3920 0.0000 0.0010
 512347.6703   6956040.0916 0.0013 0.0026
 512231.9951   6955337.2642 0.0051 0.0032
 512142.8221   6954768.9559 0.0071 0.0049
 511742.3615   6954164.3007 0.0125 0.0037
 511544.1452   6953637.4439 0.0162 0.0019
 511497.9318   6953305.8670 0.0178 0.0030
+proj=helmert +convention=coordinate_frame +x=499358.446739681 +y=6796516.162735808 +s=0.9995887272118776 +theta=498.25810674319854

0.9995858107948615,-0.0024146276402070913,11242.047769230765,164683.45011538465,510993.4873846154,6961104.257384614

-transform_affine 0.9995887272118776,0.1384050296508885,499358.446739681,6796516.162735808  -reoffset 510993 6961104 0
